flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R25","D08","30","14","5","8","13","1","1.28","13","41","66"
"R25","D09","36","10","0","25","25","0","2.11","31","221","205"
"R25","D10","67","31","0","33","33","0","2.24","32","201","248"
"R26","D01","73","18","7","42","49","1","2.38","40","208","281"
"R26","D02","92","31","8","46","54","1","2.48","37","226","304"
"R26","D03","45","10","2","30","32","1","2.24","29","245","227"
"R26","D04","52","15","2","31","34","1","2.27","31","247","233"
"R26","D05","56","21","2","28","31","1","2.27","36","175","247"
"R26","D06","89","25","52","7","59","1","2.15","33","224","289"
"R26","D07","62","9","12","34","47","1","2.43","39","172","266"
"R26","D08","39","9","12","8","20","1","1.38","16","52","80"
"R26","D09","38","10","2","22","25","1","2.11","28","232","194"
"R26","D10","68","27","12","22","35","1","2.24","30","212","236"
"R27","D01","57","11","7","34","41","1","2.4","39","179","286"
"R27","D02","76","23","8","38","47","1","2.44","36","196","298"
"R27","D03","46","5","0","37","38","0","2.36","36","216","265"
"R27","D04","51","7","0","38","39","0","2.38","37","218","271"
"R27","D05","58","16","0","36","37","0","2.38","39","145","285"
"R27","D06","82","23","0","51","51","0","2.45","39","255","333"
"R27","D07","53","15","5","29","35","1","1.99","37","143","261"
"R27","D08","26","15","5","3","8","1","1.13","8","22","38"
"R27","D09","39","6","0","30","31","0","2.27","35","203","232"
"R27","D10","69","34","0","33","33","0","2.3","36","183","274"
"R28","D01","64","17","7","34","41","1","2.4","39","180","287"
"R28","D02","83","30","8","38","47","1","2.44","36","197","299"
"R28","D03","52","8","3","37","41","1","2.13","37","217","274"
"R28","D04","59","10","3","38","42","1","2.17","38","219","280"
"R28","D05","64","18","3","36","39","1","2.14","40","146","294"
"R28","D06","93","24","7","55","62","1","2.45","41","260","342"
"R28","D07","58","12","9","29","39","1","2.04","37","144","261"
"R28","D08","32","12","9","3","12","1","1.18","8","23","35"
"R28","D09","45","8","3","30","34","1","1.94","36","204","241"
"R28","D10","77","29","3","38","41","1","2.16","37","184","283"
"R29","D01","59","14","11","27","39","1","2.27","32","201","212"
"R29","D02","92","22","8","53","61","1","2.45","38","218","333"
"R29","D03","33","9","0","23","23","0","1.98","22","175","158"
"R29","D04","39","15","0","24","24","0","2.02","23","170","164"
"R29","D05","46","20","0","21","21","0","2.02","26","230","179"
"R29","D06","64","21","0","37","37","0","2.24","31","172","222"
"R29","D07","67","14","23","21","45","1","2.33","32","165","239"
"R29","D08","40","14","5","18","23","1","1.6","23","84","135"
"R29","D09","25","10","0","15","15","0","1.86","21","64","125"
"R29","D10","57","30","0","23","23","0","1.98","22","212","168"
"R30","D01","46","7","7","25","32","1","2.27","29","141","211"
"R30","D02","63","20","8","29","38","1","2.33","25","158","222"
"R30","D03","54","7","0","46","46","0","2.42","33","177","295"
"R30","D04","60","9","0","47","47","0","2.43","34","180","302"
"R30","D05","50","15","0","30","30","0","2.3","29","107","222"
"R30","D06","88","19","0","60","60","0","2.51","38","292","384"
"R30","D07","39","9","3","20","24","1","2.07","27","105","185"
"R30","D08","24","12","4","4","8","1","1.15","10","31","47"
"R30","D09","46","7","0","39","39","0","2.33","29","165","251"
"R30","D10","65","18","1","39","40","1","2.42","33","145","287"
"R31","D01","59","15","20","17","38","1","2.15","28","245","208"
"R31","D02","96","27","8","54","63","1","2.43","36","321","333"
"R31","D03","33","8","2","20","23","1","1.98","17","167","152"
"R31","D04","41","9","2","21","24","1","2.02","18","163","158"
"R31","D05","46","18","2","19","21","1","1.98","24","222","174"
"R31","D06","65","17","11","31","43","1","2.24","27","165","210"
"R31","D07","70","10","7","44","52","1","2.36","29","267","234"
"R31","D08","44","10","8","18","26","1","1.64","22","147","144"
"R31","D09","26","8","2","13","15","1","1.82","16","60","120"
"R31","D10","59","22","15","15","31","1","2.02","18","204","162"
"R32","D01","53","12","11","24","36","1","2.2","29","259","199"
"R32","D02","95","24","8","54","62","1","2.43","36","335","325"
"R32","D03","35","6","4","20","24","1","1.98","19","181","145"
